,Top_positvely_correlated,Top_negatively_correlated
C18orf63,"['GUCA2B', 'MAP3K3', 'CHI3L1', 'PIP4K2A', 'THRSP', 'VAV1', 'NID2', 'SUSD6', 'BACH1', 'ALDH1B1', 'FPR1', 'TP53INP2', 'PURA', 'CCN1', 'FRMD4A', 'TNFRSF1B', 'GIMAP4', 'CNRIP1', 'BMPR2', 'PDE1A', 'MGAT1', 'LAPTM5', 'CLIC4', 'CERCAM', 'ITGA5', 'MINDY2', 'PEAK1', 'TEK', 'RGS2', 'ZNF25']","['MYLK', 'FN1', 'THBS2', 'DES', 'SEPTIN11', 'COL1A1', 'MBNL1', 'SH3BGRL', 'ELN', 'KIF1C', 'FABP1', 'HTRA1', 'MMP11', 'GUK1', 'CTHRC1', 'CALD1', 'TGFBI', 'LCN2', 'PALLD', 'TIMP2', 'IGFBP3', 'AEBP1', 'ELK4', 'RASSF3', 'FHL2', 'STK17B', 'SLAIN2', 'EFEMP1', 'GNAI2', 'OSBPL8']"
MBP,"['ABHD16B', 'CD74', 'COL3A1', 'SRGN', 'VIM', 'MMP2', 'CCL5', 'C1QC', 'TRAC', 'DCN', 'COL1A1', 'C3', 'COL6A3', 'MPEG1', 'LCP1', 'CTSB', 'MGP', 'SFRP2', 'PSAP', 'LYZ', 'EVI2A', 'CD52', 'TYROBP', 'LSP1', 'TRBC2', 'SERPINF1', 'LUM', 'SAMHD1', 'COL6A2', 'CTSK']","['PCP4', 'VWA1', 'NCS1', 'DES', 'PDLIM4', 'SORBS2', 'RASSF3', 'SYNM', 'PGM5', 'CNN1', 'SMTN', 'HSPB1', 'CKB', 'SVIL', 'LDB2', 'CCL14', 'RAMP2', 'LPP', 'INPP5A', 'ACKR1', 'NFYB', 'DMD', 'UGP2', 'EGFL7', 'PLVAP', 'KANK2', 'PPP1R12B', 'RIPOR1', 'RRAD', 'DCLK2']"
SALL3,"['GASK1B', 'S100A8', 'ADA2', 'DUOX2', 'TCHHL1', 'TNIP1', 'OPTN', 'MEIS2', 'NLRP1', 'ASPA', 'MYH11', 'DLC1', 'SEC24D', 'MFAP2', 'CD302', 'SPIRE1', 'LAMC1', 'CDKN2B', 'SESTD1', 'NOTCH2', 'COMP', 'RBMS3', 'SCARF2', 'PPIC', 'DMBT1', 'LPAR1', 'RFLNB', 'MYO1F', 'LTB', 'PLAC8']","['MYL9', 'TPM4', 'C1S', 'DES', 'FLNA', 'COL6A1', 'CALD1', 'TIMP2', 'MSN', 'DCN', 'HSPB1', 'IFI30', 'PPP1R12B', 'TPM1', 'AEBP1', 'MGP', 'ACTG2', 'ARHGDIB', 'IGFBP4', 'MYLK', 'TACC1', 'ZYX', 'COL4A2', 'C12orf57', 'C1QC', 'CSRP1', 'ST5', 'DST', 'SRGN', 'CKB']"
ATP9B,"['CD74', 'VIM', 'LYZ', 'C1QC', 'JCHAIN', 'IFI30', 'CTSB', 'PSAP', 'A2M', 'C1QA', 'IGKC', 'CTSC', 'COL3A1', 'APOE', 'SRGN', 'MMP12', 'C1QB', 'LAPTM5', 'CD4', 'CD68', 'LSP1', 'TYROBP', 'BST2', 'WIPF1', 'CSF1R', 'STAB1', 'COL4A1', 'FCGBP', 'LCP1', 'AIF1']","['PI3', 'CKB', 'CXCL8', 'LCN2', 'HBA2', 'CEACAM7', 'CLCA4', 'HBB', 'G0S2', 'GUCA2A', 'SOD2', 'OSM', 'PCP4', 'C1QTNF3', 'RAB23', 'PGM5', 'MXD1', 'SESTD1', 'CXCR2', 'SLC26A3', 'PPBP', 'RERGL', 'IL1B', 'CA4', 'PDZRN4', 'IL1RN', 'HBD', 'SPINK6', 'CPB1', 'CCL4L2']"
NFATC1,"['VIM', 'COL3A1', 'COL1A1', 'SPARC', 'COL1A2', 'MMP2', 'COL6A3', 'LUM', 'IGFBP7', 'COL6A2', 'COL5A1', 'CD74', 'LGALS1', 'COL4A1', 'MGP', 'COL6A1', 'A2M', 'TIMP3', 'THBS2', 'C1S', 'AEBP1', 'TIMP1', 'MMP9', 'CTSB', 'CALD1', 'VCAN', 'TIMP2', 'LYZ', 'DCN', 'C1R']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'TSPAN1', 'MUC2', 'CLCA1', 'OLFM4', 'CEACAM7', 'SLC26A3', 'CKB', 'PLA2G2A', 'SPINK4', 'KRT20', 'ZG16', 'MS4A12', 'DMBT1', 'PCP4', 'TFF3', 'REG4', 'PLAC8', 'ITLN1', 'SORBS2', 'MT1G', 'DUOX2', 'CA2', 'CLCA4', 'MT1X', 'CA4']"
THEG,"['SYNE1', 'CD209', 'INPP5A', 'GPM6A', 'PLEK', 'IL1RN', 'NLGN1', 'S100A9', 'IFFO1', 'NAP1L3', 'DPYD', 'CLMP', 'CMTM3', 'RBPMS2', 'FCAR', 'SELP', 'KCTD12', 'ADGRG3', 'HES4', 'FZD4', 'A4GALT', 'SEPTIN5', 'PAFAH1B1', 'HHEX', 'CPQ', 'NEXN', 'TMEM71', 'RHOJ', 'TACR2', 'HBA2']","['COL1A1', 'TIMP1', 'FABP1', 'COL1A2', 'PSAP', 'MGP', 'FCGBP', 'DCN', 'COL3A1', 'COL5A1', 'CALD1', 'CKB', 'TIMP2', 'CCN2', 'LCN2', 'CRIP1', 'HSPB1', 'THBS2', 'SPARC', 'AEBP1', 'LGALS1', 'DST', 'C3', 'SPARCL1', 'MSN', 'TGFBR1', 'MMP2', 'COL6A2', 'COL4A2', 'COL6A1']"
FSTL3,"['COL1A1', 'COL3A1', 'COL1A2', 'SPARC', 'TAGLN', 'MMP2', 'THBS2', 'LUM', 'AEBP1', 'COL5A1', 'COL6A2', 'ACTA2', 'ELN', 'GREM1', 'TIMP2', 'TIMP3', 'COL6A3', 'SFRP4', 'DCN', 'C1S', 'COL12A1', 'THBS1', 'CALD1', 'VCAN', 'CCN2', 'FN1', 'TNC', 'VIM', 'MYL9', 'IGFBP3']","['LCN2', 'PIGR', 'FCGBP', 'PI3', 'AGR2', 'TSPAN1', 'MUC2', 'OLFM4', 'CLCA1', 'CA2', 'CEACAM7', 'SPINK4', 'KRT20', 'SLC26A3', 'TFF3', 'DUOX2', 'ZG16', 'JCHAIN', 'MS4A12', 'REG4', 'PLAC8', 'DMBT1', 'ITLN1', 'CKB', 'APOBR', 'GUCA2A', 'MT1G', 'SOD2', 'SELENOP', 'MT1X']"
PALM,"['COL3A1', 'COL1A1', 'VIM', 'COL1A2', 'SPARC', 'MMP2', 'MGP', 'IGFBP7', 'LUM', 'C1R', 'SORCS3', 'SFRP2', 'COL6A2', 'TIMP3', 'DCN', 'IGFBP5', 'AEBP1', 'LGALS1', 'BGN', 'IGFBP3', 'CALD1', 'COL6A3', 'C3', 'EFEMP1', 'C1S', 'FBLN1', 'CTHRC1', 'CCL21', 'COL5A1', 'SFRP4']","['LCN2', 'PI3', 'PIGR', 'FCGBP', 'TSPAN1', 'AGR2', 'MUC2', 'CKB', 'CLCA1', 'OLFM4', 'CEACAM7', 'SPINK4', 'SLC26A3', 'KRT20', 'MMP12', 'CA2', 'CXCL8', 'DUOX2', 'MS4A12', 'DMBT1', 'SOD2', 'PLAC8', 'MT1G', 'ITLN1', 'ZG16', 'SPP1', 'MT1F', 'APOBR', 'GUCA2A', 'MT1X']"
AZU1,"['SST', 'FCAR', 'CTSC', 'CLEC4G', 'TRPC1', 'BMERB1', 'GPR34', 'PHF21A', 'S100A8', 'RCSD1', 'ZNF385A', 'SUSD6', 'SIPA1', 'SNCG', 'CD4', 'CIITA', 'PDLIM4', 'NT5E', 'DYSF', 'PLVAP', 'PSAP', 'LGI1', 'SLAIN2', 'APOE', 'UGCG', 'TENM1', 'SRGN', 'C1QA', 'RGS1', 'FGR']","['HSPB1', 'SOD2', 'FABP1', 'LUM', 'CD55', 'CKB', 'PIGR', 'LAMC1', 'DES', 'TAGLN', 'ST5', 'MSN', 'IGFBP7', 'STK38L', 'LPP', 'MYH11', 'WSB1', 'COL5A1', 'FILIP1L', 'IGFBP3', 'MMP2', 'TAB2', 'SULF2', 'CALU', 'IGKC', 'VEGFB', 'HTRA1', 'EMP1', 'SLMAP', 'PALLD']"
PRTN3,"['ANGPT1', 'PLEKHH2', 'EMP1', 'GNG2', 'SFRP1', 'CYBRD1', 'IFIT1', 'CDC42EP3', 'STX11', 'MAPRE2', 'OSM', 'APOD', 'ARL4C', 'ARMC4', 'MAP7D1', 'MMP11', 'KIZ', 'DMD', 'LIX1L', 'IDS', 'HHEX', 'CXCL8', 'SPON2', 'ATN1', 'STX12', 'PLD3', 'CYB5R3', 'ZEB2', 'STK38L', 'LAMC1']","['TPM2', 'ACTG2', 'FABP1', 'DES', 'TAGLN', 'LCN2', 'ZYX', 'GUK1', 'CNN2', 'IGKC', 'MYL9', 'CALD1', 'PECAM1', 'SFRP4', 'MYLK', 'MYL6', 'ENG', 'FILIP1L', 'TIMP1', 'PAFAH1B1', 'CRIP1', 'IGFBP7', 'SMAD2', 'TGFBI', 'TPM1', 'RAB13', 'PI3', 'RASSF3', 'MYH11', 'RAP1A']"
CFD,"['SFRP2', 'C3', 'MMP2', 'DCN', 'FBLN1', 'SFRP1', 'PI16', 'MGP', 'C1R', 'C1S', 'CCDC80', 'IGKC', 'COL1A2', 'TNXB', 'LUM', 'COL3A1', 'JCHAIN', 'ADAMDEC1', 'PLA2G2A', 'PTGDS', 'CXCL12', 'COL1A1', 'SERPINF1', 'CD74', 'VIM', 'APOE', 'IGFBP4', 'SERPINE2', 'COL6A2', 'PLTP']","['LCN2', 'PI3', 'CKB', 'PCP4', 'SORBS2', 'ACTN1', 'SLMAP', 'CEACAM7', 'FAM83D', 'INPP5A', 'MMP12', 'DUOX2', 'DES', 'TSPAN1', 'PLAUR', 'STK38L', 'IL1RN', 'PPP1R12B', 'KRT20', 'DMBT1', 'DDIT4', 'NCS1', 'EOGT', 'SORBS1', 'SLC26A3', 'MS4A12', 'HBA2', 'LPP', 'RAB23', 'CXCL8']"
CNN2,"['COL1A1', 'COL3A1', 'COL1A2', 'SPARC', 'MMP2', 'LUM', 'COL5A1', 'VIM', 'THBS2', 'AEBP1', 'SFRP4', 'LGALS1', 'COL6A3', 'VCAN', 'DCN', 'IGFBP3', 'CTHRC1', 'TIMP3', 'COL6A2', 'IGFBP7', 'COL12A1', 'TIMP2', 'COL11A1', 'COL5A2', 'C1S', 'ELN', 'CCN2', 'THY1', 'INHBA', 'SULF1']","['FCGBP', 'MUC2', 'CLCA1', 'LCN2', 'FABP1', 'AGR2', 'TSPAN1', 'PLA2G2A', 'CA2', 'ZG16', 'TFF3', 'SLC26A3', 'SPINK4', 'OLFM4', 'KRT20', 'CEACAM7', 'MT1X', 'MS4A12', 'DES', 'ITLN1', 'GUCA2A', 'CA4', 'MT1G', 'CA1', 'SORBS2', 'REG4', 'MT1H', 'MT1F', 'CLCA4', 'PI3']"
ONECUT3,"['CALHM5', 'FGR', 'CAVIN3', 'TOM1L2', 'ADD1', 'THY1', 'MEDAG', 'SLA', 'BCHE', 'MYH10', 'PPP3CC', 'VAMP5', 'FGF7', 'RCN3', 'RGS2', 'ZMYND11', 'UBE2L6', 'DPYSL2', 'ITLN1', 'IFI6', 'ARHGEF1', 'SH3PXD2A', 'SERPINF1', 'CLCA1', 'MMP14', 'EPAS1', 'COL12A1', 'IGHA1', 'BGN', 'MEFV']","['CD74', 'MYL6', 'CALD1', 'COL3A1', 'TIMP1', 'IGFBP7', 'CSRP1', 'FN1', 'FABP1', 'TIMP3', 'A2M', 'EHBP1L1', 'COL5A1', 'LUM', 'C1S', 'IFI30', 'DES', 'LGALS1', 'COL4A1', 'THBS1', 'COL6A1', 'NBL1', 'C1R', 'CAPN2', 'TIMP2', 'HIPK3', 'ACTA2', 'DCN', 'ACTN1', 'VCAN']"
MOB3A,"['VIM', 'SRGN', 'CD74', 'LYZ', 'COL3A1', 'IFI30', 'TRAC', 'LGALS1', 'COL1A1', 'LCP1', 'TRBC2', 'LSP1', 'IGFBP7', 'MMP12', 'CTSB', 'SPARC', 'COL1A2', 'COL4A1', 'LAPTM5', 'SPI1', 'RGS1', 'ARHGDIB', 'A2M', 'IGKC', 'C1QC', 'IL7R', 'WIPF1', 'JCHAIN', 'CD2', 'MYO1F']","['LCN2', 'PI3', 'CKB', 'PIGR', 'TSPAN1', 'TFF3', 'FCGBP', 'AGR2', 'CLCA1', 'CEACAM7', 'SLC26A3', 'MS4A12', 'MUC2', 'ZG16', 'KRT20', 'SPINK4', 'PCP4', 'MT1F', 'CA1', 'DMBT1', 'PLAC8', 'MT1X', 'DUOX2', 'RAB23', 'PLA2G2A', 'HBA2', 'NFIX', 'MT1H', 'OLFM4', 'HBB']"
GADD45B,"['COL1A1', 'COL3A1', 'COL1A2', 'CXCL8', 'SPARC', 'IL1RN', 'IGFBP3', 'AEBP1', 'LUM', 'THBS2', 'VCAN', 'TIMP3', 'COL5A1', 'COL6A3', 'TAGLN', 'MMP2', 'SFRP4', 'COL6A2', 'VIM', 'INHBA', 'COMP', 'CCN2', 'IGFBP7', 'C1S', 'CALD1', 'TIMP1', 'SRGN', 'BCL2A1', 'CCN1', 'COL5A2']","['PIGR', 'LCN2', 'FCGBP', 'AGR2', 'TSPAN1', 'MUC2', 'OLFM4', 'SLC26A3', 'CLCA1', 'SPINK4', 'CEACAM7', 'CA2', 'ZG16', 'MS4A12', 'REG4', 'KRT20', 'MT1G', 'ITLN1', 'GUCA2A', 'TFF3', 'DMBT1', 'CA4', 'C2orf88', 'PLA2G2A', 'PLAC8', 'REG1A', 'MT1X', 'PARM1', 'PI3', 'DUOX2']"
NFIC,"['COL3A1', 'COL1A1', 'COL1A2', 'TAGLN', 'SPARC', 'COL6A2', 'VIM', 'COL6A3', 'COL5A1', 'MYL9', 'CALD1', 'COL6A1', 'IGFBP7', 'MMP2', 'LUM', 'ACTG2', 'LGALS1', 'CSRP1', 'TNC', 'COL4A1', 'C1S', 'TPM1', 'MYLK', 'ACTA2', 'COL5A2', 'TPM2', 'COL12A1', 'C1R', 'TIMP2', 'AEBP1']","['TSPAN1', 'SLC26A3', 'PI3', 'FCGBP', 'LCN2', 'KRT20', 'FABP1', 'CEACAM7', 'ZG16', 'MUC2', 'IGKC', 'CA2', 'DUOX2', 'CA4', 'GUCA2A', 'CLCA4', 'JCHAIN', 'MS4A12', 'CXCL8', 'TFF3', 'CA1', 'PLAC8', 'AGR2', 'SELENOP', 'IL1B', 'MXD1', 'MEP1A', 'IGHG1', 'KLF4', 'HBA2']"
PIP5K1C,"['VIM', 'TAGLN', 'COL3A1', 'COL4A1', 'LGALS1', 'MYL9', 'SPARC', 'COL6A2', 'ACTG2', 'ACTA2', 'CALD1', 'COL1A1', 'IGFBP7', 'COL1A2', 'A2M', 'ITGA5', 'FN1', 'COL4A2', 'DES', 'FLNA', 'TPM1', 'COL6A3', 'MYLK', 'TNC', 'COL6A1', 'MYH11', 'MCAM', 'ENG', 'TPM2', 'CSRP1']","['PIGR', 'LCN2', 'PI3', 'AGR2', 'FCGBP', 'CLCA1', 'SPINK4', 'TSPAN1', 'HBA2', 'SLC26A3', 'OLFM4', 'MUC2', 'ZG16', 'KRT20', 'TFF3', 'DMBT1', 'OSM', 'REG4', 'HBB', 'CEACAM7', 'MT1F', 'MXD1', 'HCAR3', 'DUOX2', 'G0S2', 'MT1X', 'CA4', 'MT1G', 'CA2', 'CA1']"
DAPK3,"['COL1A1', 'SPARC', 'COL3A1', 'TAGLN', 'COL1A2', 'COL4A1', 'ACTA2', 'CALD1', 'COL4A2', 'MYL9', 'LGALS1', 'THBS1', 'VIM', 'TNC', 'COL6A2', 'TPM1', 'COL5A1', 'CCN2', 'IGFBP7', 'CSRP1', 'MYLK', 'COL6A3', 'ACTG2', 'FN1', 'MCAM', 'ACTN1', 'COL6A1', 'TPM2', 'AEBP1', 'COL12A1']","['PIGR', 'FCGBP', 'JCHAIN', 'OLFM4', 'IGHG1', 'AGR2', 'CLCA1', 'IGHM', 'SPINK4', 'MUC2', 'IGHA1', 'TFF3', 'CA2', 'PLA2G2A', 'TSPAN1', 'ZG16', 'ITLN1', 'MZB1', 'HBA2', 'DUOX2', 'KRT20', 'SELENOP', 'DMBT1', 'REG4', 'HBB', 'MT1F', 'IL1RN', 'CA1', 'SERPINA1', 'ATP2A3']"
PLIN4,"['DES', 'MYH11', 'ACTG2', 'TAGLN', 'MYL9', 'CSRP1', 'MYLK', 'CNN1', 'TPM2', 'SYNPO2', 'SYNM', 'PLN', 'FLNA', 'CHRDL2', 'PRUNE2', 'TPM1', 'PPP1R12B', 'MARCOL', 'SORBS1', 'HAND2', 'HSPB8', 'TNC', 'MAB21L2', 'SMTN', 'TNS1', 'CALD1', 'ITGA5', 'FHL1', 'PHLDB2', 'KCNH2']","['SPARC', 'TIMP3', 'MMP2', 'LCN2', 'COL1A1', 'COL1A2', 'PIGR', 'VIM', 'AGR2', 'TSPAN1', 'OLFM4', 'CXCL14', 'FCGBP', 'JCHAIN', 'PI3', 'F3', 'SFRP4', 'IGFBP3', 'CTHRC1', 'MMP12', 'THBS2', 'LUM', 'S100A4', 'AEBP1', 'ENG', 'APOBR', 'MUC2', 'MMP11', 'COMP', 'SPON1']"
SEMA6B,"['VWF', 'PECAM1', 'ENG', 'AQP1', 'PLVAP', 'VIM', 'COL4A1', 'EGFL7', 'CALCRL', 'A2M', 'ADGRL4', 'PLXND1', 'SLCO2A1', 'RAMP3', 'ECSCR', 'IGFBP7', 'HSPG2', 'ESAM', 'EPAS1', 'CD93', 'COL4A2', 'CLEC14A', 'MMRN2', 'MMRN1', 'PDGFB', 'SPARCL1', 'S1PR1', 'CDH5', 'CD34', 'ADAMTS9']","['LCN2', 'PIGR', 'CKB', 'FCGBP', 'PI3', 'AGR2', 'TSPAN1', 'MUC2', 'PCP4', 'PLA2G2A', 'SLC26A3', 'KRT20', 'CEACAM7', 'CLCA1', 'TFF3', 'SFRP4', 'NFIX', 'DUOX2', 'ZG16', 'SPINK4', 'COL11A1', 'OLFM4', 'THBS2', 'DES', 'COMP', 'MS4A12', 'MT1G', 'ITLN1', 'REG4', 'SORBS1']"
PTPRS,"['COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'COL5A1', 'COL6A3', 'VIM', 'MMP2', 'LUM', 'COL6A2', 'VCAN', 'AEBP1', 'COL6A1', 'DCN', 'COL12A1', 'C1S', 'IGFBP7', 'THBS2', 'COL5A2', 'C1R', 'FBLN1', 'TAGLN', 'COL4A1', 'C3', 'LGALS1', 'SFRP4', 'TIMP2', 'THY1', 'TIMP3', 'A2M']","['LCN2', 'PI3', 'PIGR', 'FCGBP', 'TSPAN1', 'AGR2', 'CKB', 'CEACAM7', 'MUC2', 'KRT20', 'CLCA1', 'SLC26A3', 'TFF3', 'MS4A12', 'DUOX2', 'OLFM4', 'ZG16', 'CA2', 'KLF4', 'DMBT1', 'SPINK4', 'PLAC8', 'SOD2', 'CA1', 'MT1G', 'REG4', 'PLAUR', 'MT1H', 'GUCA2A', 'CA4']"
TNFSF14,"['C3', 'COL3A1', 'C1S', 'LUM', 'COL1A2', 'COL6A3', 'C1R', 'MMP2', 'COL1A1', 'SFRP2', 'SRGN', 'SPACA1', 'TNXB', 'TRBC2', 'COL6A2', 'ADGRG3', 'PLEK', 'GZMA', 'TNFAIP2', 'DCN', 'SVEP1', 'HCAR3', 'SLA', 'COL6A1', 'CXCL8', 'S100A4', 'CD2', 'VIM', 'TIMP1', 'THBS2']","['LCN2', 'PIGR', 'AGR2', 'CKB', 'FCGBP', 'TSPAN1', 'OLFM4', 'SORBS2', 'PI3', 'MUC2', 'CA2', 'CLCA1', 'CEACAM7', 'ZG16', 'DUOX2', 'KRT20', 'SPINK4', 'SLC26A3', 'MT1X', 'TFF3', 'REG4', 'DMBT1', 'ZBTB20', 'SLCO2A1', 'SVIL', 'SLC25A4', 'CDC42BPA', 'ARHGEF10', 'CA1', 'C2orf88']"
C3,"['COL3A1', 'MMP2', 'COL1A1', 'COL1A2', 'SFRP2', 'LUM', 'COL6A3', 'DCN', 'MGP', 'C1S', 'FBLN1', 'C1R', 'AEBP1', 'SFRP4', 'THBS2', 'COL6A2', 'VCAN', 'CCDC80', 'SPARC', 'COL5A1', 'COL14A1', 'GREM1', 'SERPINF1', 'VIM', 'FBN1', 'TNXB', 'SERPINE2', 'TIMP1', 'CTSK', 'COL6A1']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'TSPAN1', 'CKB', 'MUC2', 'OLFM4', 'CLCA1', 'CA2', 'KRT20', 'SLC26A3', 'CEACAM7', 'SPINK4', 'TFF3', 'DUOX2', 'MS4A12', 'ZG16', 'DMBT1', 'PLAC8', 'REG4', 'ITLN1', 'PCP4', 'SORBS2', 'PARM1', 'MT1G', 'MT1X', 'GUCA2A', 'CXCL8']"
VAV1,"['CD74', 'SRGN', 'LYZ', 'IFI30', 'C1QC', 'CTSB', 'C1QB', 'C1QA', 'LAPTM5', 'MMP12', 'LCP1', 'VIM', 'TRAC', 'CD4', 'MS4A6A', 'IGKC', 'SPI1', 'TRBC2', 'CD68', 'RGS1', 'JCHAIN', 'PSAP', 'WIPF1', 'CD14', 'APOE', 'TYROBP', 'MPEG1', 'STAB1', 'ITGB2', 'CTSC']","['LCN2', 'CKB', 'PI3', 'TSPAN1', 'PCP4', 'CEACAM7', 'SLC26A3', 'MS4A12', 'KRT20', 'PIGR', 'PPP1R12B', 'DES', 'TFF3', 'SORBS2', 'FCGBP', 'ZG16', 'FAM83D', 'AGR2', 'SORBS1', 'CA4', 'PGM5', 'MUC2', 'DUOX2', 'KLF4', 'CLCA4', 'PRUNE2', 'CNN1', 'MYH11', 'CA2', 'C1orf198']"
AC119396.1,"['TACR2', 'TTLL7', 'TAGLN', 'GUCY1B1', 'ITIH5', 'CDH18', 'DES', 'SORBS1', 'HK3', 'MYH11', 'CHST15', 'SMTN', 'CSF2RB', 'RBFOX3', 'CACNA1H', 'DOCK5', 'ACTG2', 'NTN1', 'RIMKLB', 'VSIR', 'CLMP', 'RPRM', 'PNCK', 'MYLK', 'MYL9', 'FXYD6', 'ADIPOQ', 'PPP1R12B', 'ITGB3', 'OSBPL8']","['FABP1', 'PI3', 'PIGR', 'FCGBP', 'TSPAN1', 'COL5A1', 'CTHRC1', 'CD55', 'CLCA1', 'SPINK4', 'C1orf198', 'OLFM4', 'S100A13', 'GUK1', 'TIMP3', 'AGR2', 'CEACAM7', 'ELK4', 'MUC2', 'DEGS1', 'MSRB2', 'ATL3', 'TFF3', 'CDC42BPA', 'CA2', 'LPP', 'FN1', 'PIM1', 'MGAT1', 'MT2A']"
CLEC4G,"['MMRN1', 'SLC4A1', 'AZU1', 'RELN', 'F13A1', 'LYVE1', 'PLTP', 'MARCO', 'RNASE1', 'NTRK3', 'CCL21', 'VSIG4', 'STAB1', 'CD74', 'MAF', 'A4GALT', 'MGP', 'CD209', 'CACNA2D1', 'C3AR1', 'ASXL3', 'LILRB5', 'PILRA', 'VIM', 'CYTH4', 'FOLR2', 'EMILIN2', 'C1QA', 'MPDZ', 'ADAMTS15']","['LCN2', 'PI3', 'TSPAN1', 'CXCL14', 'PCP4', 'ACTN1', 'KRT20', 'APOBR', 'IGFBP3', 'C1orf198', 'CEACAM7', 'STK38L', 'MAP4K4', 'SLC26A3', 'CORO1C', 'FCGBP', 'F3', 'PIGR', 'AGR2', 'CALD1', 'S100A13', 'GUK1', 'ENTPD1', 'SWAP70', 'COL5A2', 'NES', 'PINK1', 'SEPTIN11', 'ARHGAP1', 'SMIM14']"
CD209,"['CD74', 'C1QC', 'C1QB', 'C1QA', 'STAB1', 'CTSB', 'MS4A6A', 'SELENOP', 'PLTP', 'MS4A7', 'CD163', 'MPEG1', 'IFI30', 'LYZ', 'MMP12', 'CSF1R', 'CD14', 'SRGN', 'PSAP', 'FCER1G', 'CTSC', 'SLCO2B1', 'CD68', 'CD4', 'MS4A4A', 'F13A1', 'FCGR2A', 'AIF1', 'APOE', 'LAPTM5']","['LCN2', 'PI3', 'CKB', 'AGR2', 'CEACAM7', 'PIGR', 'FCGBP', 'TSPAN1', 'CLCA1', 'PCP4', 'SORBS2', 'SLMAP', 'TFF3', 'MUC2', 'FN1', 'KRT20', 'PGM5', 'CRIM1', 'FAM83D', 'ZG16', 'DUOX2', 'SLC26A3', 'SPINK4', 'MS4A12', 'ALDH1B1', 'NFIX', 'DMBT1', 'STK38L', 'HBA2', 'COMP']"
MARCH2,"['RLN3', 'TAGLN', 'DES', 'VIM', 'MYL9', 'CALD1', 'MYLK', 'MYH11', 'ACTG2', 'TPM2', 'CSRP1', 'CD74', 'IGFBP7', 'LGALS1', 'ACTA2', 'CNN1', 'TNC', 'SYNM', 'SPARCL1', 'SPARC', 'COL6A2', 'FLNA', 'ITGA5', 'TPM1', 'A2M', 'LYZ', 'PLEKHO1', 'COL3A1', 'C1QB', 'SYNPO2']","['FABP1', 'PI3', 'OLFM4', 'PIGR', 'FCGBP', 'AGR2', 'CLCA1', 'MUC2', 'CKB', 'TSPAN1', 'REG4', 'ITLN1', 'MS4A12', 'SPINK4', 'G0S2', 'DUOX2', 'CEACAM7', 'REG1A', 'ZG16', 'CXCL8', 'SLC26A3', 'IL1B', 'MT1H', 'MT1X', 'CD177', 'GUCA2A', 'KRT20', 'TFF3', 'ELL2', 'CLCA4']"
MYO1F,"['SRGN', 'LYZ', 'CD74', 'S100A9', 'IFI30', 'SPI1', 'S100A8', 'VIM', 'MMP12', 'LCP1', 'LAPTM5', 'CTSB', 'C1QC', 'TYROBP', 'TRAC', 'MPEG1', 'TRBC2', 'LSP1', 'WIPF1', 'SELL', 'AIF1', 'ARHGDIB', 'RGS1', 'CD4', 'PSAP', 'FCER1G', 'ITGB2', 'C1QB', 'C1QA', 'CORO1A']","['LCN2', 'PIGR', 'AGR2', 'FCGBP', 'CKB', 'TSPAN1', 'CLCA1', 'MUC2', 'PI3', 'PLA2G2A', 'SORBS2', 'OLFM4', 'CEACAM7', 'PCP4', 'SPINK4', 'TFF3', 'KRT20', 'SLC26A3', 'MS4A12', 'NFIX', 'ZG16', 'ITLN1', 'PPP1R12B', 'MT1X', 'DMBT1', 'REG4', 'DUOX2', 'MT1G', 'PDE3A', 'SLMAP']"
ADAMTS10,"['VIM', 'COL3A1', 'COL1A1', 'SPARC', 'COL1A2', 'CPA2', 'MMP2', 'COL6A2', 'IGFBP7', 'A2M', 'COL4A1', 'COL18A1', 'COL6A3', 'COL5A1', 'NOTCH3', 'CCN1', 'COL4A2', 'LUM', 'ACTA2', 'C1S', 'VCAN', 'MGP', 'AEBP1', 'ENG', 'COL6A1', 'PDGFRB', 'FBN1', 'C11orf96', 'CALD1', 'TAGLN']","['LCN2', 'PI3', 'PIGR', 'FCGBP', 'AGR2', 'TSPAN1', 'CKB', 'MUC2', 'CEACAM7', 'CLCA1', 'OLFM4', 'KRT20', 'SLC26A3', 'SOD2', 'TFF3', 'MT1X', 'PLAC8', 'PCP4', 'SPINK4', 'MS4A12', 'DUOX2', 'DMBT1', 'ZG16', 'REG4', 'ITLN1', 'SORBS2', 'CLCA4', 'CA4', 'MT1H', 'REG1A']"
